Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,1,"3,250",60 to 70,600 to 700,Nov-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,900",70 to 80,700 to 800,Nov-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,500",70 to 80,800 to 900,Nov-24
TREASURE GARDENS,TEOW HOCK AVENUE,19,Non-Landed Properties,2,"2,900",70 to 80,800 to 900,Nov-24
SHANGRI-LA RESIDENCES,LADY HILL ROAD,10,Non-Landed Properties,NA,"10,085",150 to 160,"1,600 to 1,700",Nov-24
SHAN GATE APARTMENTS,SHAN ROAD,12,Non-Landed Properties,1,"3,100",70 to 80,700 to 800,Nov-24
NOTTINGHILL SUITES,TOH TUCK ROAD,21,Non-Landed Properties,1,"2,750",30 to 40,300 to 400,Nov-24
SCOTTS SQUARE,SCOTTS ROAD,09,Non-Landed Properties,2,"6,800",80 to 90,"900 to 1,000",Nov-24
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,3,"7,550",90 to 100,"1,000 to 1,100",Nov-24
CYAN,KENG CHIN ROAD,10,Non-Landed Properties,2,"6,500",90 to 100,"1,000 to 1,100",Nov-24
THE CRISTALLO,LORONG K TELOK KURAU,15,Non-Landed Properties,NA,"2,700",40 to 50,500 to 600,Nov-24
HYLL ON HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Nov-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"5,200",60 to 70,700 to 800,Nov-24
THE DAIRY FARM,DAIRY FARM ROAD,23,Non-Landed Properties,1,"3,250",100 to 110,"1,000 to 1,100",Nov-24
MARTIN PLACE RESIDENCES,MARTIN PLACE,09,Non-Landed Properties,4,"12,500",170 to 180,"1,800 to 1,900",Nov-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,Nov-24
THE ARISTO @ AMBER,AMBER ROAD,15,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Nov-24
CLEMENTI PARK,SUNSET WAY,21,Non-Landed Properties,3,"4,800",160 to 170,"1,700 to 1,800",Nov-24
ARTHUR MANSIONS,ARTHUR ROAD,15,Non-Landed Properties,NA,"5,000",110 to 120,"1,200 to 1,300",Nov-24
EAST GROVE,EAST COAST ROAD,15,Non-Landed Properties,3,"5,200",90 to 100,"1,000 to 1,100",Nov-24
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,2,"4,100",50 to 60,500 to 600,Nov-24
THE BAYSHORE,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,700",80 to 90,"900 to 1,000",Nov-24
CLYDES RESIDENCE,MERGUI ROAD,08,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Nov-24
ONE ST MICHAEL'S,ST. MICHAEL'S ROAD,12,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Nov-24
THE AXIS,MANDALAY ROAD,11,Non-Landed Properties,1,"2,800",30 to 40,300 to 400,Nov-24
THE COSMOPOLITAN,KIM SENG ROAD,09,Non-Landed Properties,3,"7,900",120 to 130,"1,300 to 1,400",Nov-24
THE COLONNADE,GRANGE ROAD,10,Non-Landed Properties,2,"11,000",260 to 270,"2,800 to 2,900",Nov-24
FORTUNE JADE,DUNMAN ROAD,15,Non-Landed Properties,3,"5,200",100 to 110,"1,000 to 1,100",Nov-24
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"3,350",30 to 40,300 to 400,Nov-24
AMBER 45,AMBER ROAD,15,Non-Landed Properties,2,"4,800",60 to 70,600 to 700,Nov-24
28 RC SUITES,RACE COURSE LANE,08,Non-Landed Properties,1,"2,700",30 to 40,400 to 500,Nov-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,200",60 to 70,700 to 800,Nov-24
NINETEEN SHELFORD ROAD,SHELFORD ROAD,11,Non-Landed Properties,1,"3,500",60 to 70,700 to 800,Nov-24
RIVERTREES RESIDENCES,FERNVALE CLOSE,28,Non-Landed Properties,2,"3,000",60 to 70,600 to 700,Nov-24
